,policy_nr_hashed,cluster
1372,LAwzYP8,3
1373,OlwxyJy,3
1375,P8w88dj,0
1377,VqxqOR6,3
1378,ZLWE97z,0
1382,eBOWXQK,3
1384,kbdqeoV,3
1385,mWm3Xov,0
1386,nAEAOpP,3
1389,oJmJykb,3
1390,oJmWml6,0
1392,rLm8nVJ,0
1393,wRmLrdE,0
1395,xamQBaE,0
1396,xamQlgb,3
1397,xamXmkR,3
1402,zPmZkJK,0
1409,70NVgev,0
1411,8rZvxKm,1
1413,ByZA0o3,1
1414,E7wqQyx,1
1418,JBwJoWN,1
1420,LAwZ80Y,1
1424,R5WkNO8,0
1426,VqxwXRY,1
1427,XrPoB9L,1
1430,YvWGe7j,1
1433,eBO5dx3,1
1437,joJKwEN,1
1441,kbdakg7,0
1444,pjmk2oW,1
1449,wRmjy5E,0
1450,ypgjNQQ,1
1451,zPm2kEl,0
1454,0WKozQa,1
1455,2LJAaXK,1
1464,3RdObZy,1
1475,5rZLJZq,1
1476,5rZgN0y,1
1479,6rYRdyr,1
1486,70Nav7k,1
1487,8rZJWXo,1
1488,8rZvgwx,1
1493,AoZRaNY,1
1494,AoZlEJY,1
1495,AoZlRbw,0
1518,JBw5LPZ,1
1522,K7w508d,1
1523,K7w5ndv,1
1524,K7wQVJg,0
1530,LAw5Z9L,1
1531,LAwLyRe,1
1532,LAwZazp,0
1533,NWE2G8g,1
1534,NWE2R7Y,1
1536,NWEWQrQ,1
1539,Olw382y,1
1544,P8w0ywV,0
1545,P8wAbrO,0
1546,P8wgQWG,1
1549,Q6Y0kv3,1
1550,Q6YABZN,0
1557,R5W7o5q,1
1558,R5Wk09p,1
1564,Vqx5YrR,0
1565,Vqx97dZ,1
1566,WP0G9v7,0
1567,WP0YqeP,1
1572,XrP0ZoB,1
1573,XrP6jgP,1
1574,XrP6rnw,1
1575,XrPGmEa,1
1577,XrPoZYn,1
1578,XrPrGNP,1
1585,a6RBjWX,0
1586,a6RkNr5,1
1587,a6RvENX,1
1588,a6RvKwv,1
1597,dByBRge,1
1598,dByGvXd,1
1599,dByo6k8,1
1606,gjkWmmA,1
1610,kbdVRvr,1
1615,lrzJBP2,1
1617,lrzn258,1
1620,mWmbERe,1
1626,pjmb5La,1
1632,qvmjzOv,1
1633,qvmvplo,1
1639,vL9LR83,1
1645,wRm7Rqx,1
